Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,Stochastic_K,Stochastic_D,CCI,MFI
2022-10-03,80.79000091552734,87.37000274658203,80.22000122070312,82.08000183105469,82.08000183105469,12562800,,,,,,
2022-10-10,82.37999725341797,82.58999633789062,76.27999877929688,79.9800033569336,79.9800033569336,6249800,,,,,,
2022-10-17,81.61000061035156,86.05999755859375,81.26000213623047,85.87999725341797,85.87999725341797,6072000,,,,,,
2022-10-24,85.93000030517578,89.97000122070312,85.16999816894531,89.20999908447266,89.20999908447266,6727100,,,,,,
2022-10-31,89.0,89.5199966430664,82.33000183105469,84.0999984741211,84.0999984741211,7097000,,,,,,
2022-11-07,84.55000305175781,93.72000122070312,82.36000061035156,93.3499984741211,93.3499984741211,12775400,,,,,,
2022-11-14,92.12000274658203,93.8499984741211,89.0999984741211,90.94999694824219,90.94999694824219,7320300,,,,,,
2022-11-21,90.91000366210938,92.63999938964844,90.05999755859375,92.5199966430664,92.5199966430664,3061900,,,,,,
2022-11-28,91.80000305175781,96.13999938964844,90.5,93.79000091552734,93.79000091552734,8179500,,,82.80134079486007,82.62992696469284,,
2022-12-05,92.79000091552734,93.06999969482422,88.86000061035156,89.0199966430664,89.0199966430664,6874400,,,73.2563617182767,81.2746890440594,,
2022-12-12,88.69000244140625,93.88999938964844,84.19999694824219,84.9800033569336,84.9800033569336,8760900,,,45.94898631916923,67.335562944102,,
2022-12-19,85.22000122070312,85.22000122070312,81.33999633789062,83.16000366210938,83.16000366210938,7639500,,,22.386983254794615,47.19744376408017,,
2022-12-26,83.18000030517578,84.88999938964844,82.63999938964844,84.30000305175781,84.30000305175781,3402700,,,12.94336704815511,27.09311220737298,,
2023-01-02,85.0,86.20999908447266,84.11000061035156,85.8499984741211,85.8499984741211,4430500,,,22.74454958426736,19.358299962405688,-31.163715506961083,
2023-01-09,86.51000213623047,89.27999877929688,86.37000274658203,88.69999694824219,88.69999694824219,5558600,57.02759703182478,,38.19390447753969,24.627273703320714,16.901045559327482,62.07575191685804
2023-01-16,88.86000061035156,89.75,86.37999725341797,88.12999725341797,88.12999725341797,5975100,56.29392825140215,,58.43962184005344,39.79269196728683,4.307253702650835,61.860221263743355
2023-01-23,87.98999786376953,89.29000091552734,85.66000366210938,87.41999816894531,87.41999816894531,5365600,55.33890622770791,,68.87061129594831,55.16804587118048,-20.102996346616937,55.960883906377155
2023-01-30,87.1500015258789,91.7699966430664,86.95999908447266,89.33000183105469,89.33000183105469,5205200,57.43111583802815,,72.037563429413,66.44926552180492,31.528093940666658,55.267291478623406
2023-02-06,88.51000213623047,88.7300033569336,84.7300033569336,85.5,85.5,5924700,52.154923538182075,,48.770986569265766,63.226387098209024,-57.19156884904225,55.91620090845082
2023-02-13,85.62999725341797,88.88999938964844,75.61000061035156,77.30000305175781,77.30000305175781,17590800,43.03840668786814,,29.84722218134742,50.218590726675394,-173.76676227415635,40.23757540502418
